Vertex ,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16
39,0.847301909,0.747565456,0.785013886,0.898988375,0.614673281,0.700974778,0.885339834,0.958082735,0.804670977,0.812845394,0.642868805,0.778964947,0.813046907,0.696988201,0.707697292,0.750913665
40,0.608028479,0.728831666,0.684579203,0.730998941,0.647904853,0.956210912,0.837436981,0.871640928,0.915668495,0.79937688,0.634768115,0.814842617,0.834736447,0.89817579,0.772663818,0.651032121
41,0.713510362,0.745232919,0.858366897,0.828311322,0.74243869,0.9946061,0.842309928,0.694890717,0.640712989,0.661143656,0.698383091,0.664272549,0.67462681,0.714038067,0.669349438,0.95870617
42,0.632093498,0.809804556,0.764158731,0.992951447,0.644815561,0.75914224,0.987788173,0.94620285,0.926828828,0.703161131,0.668355035,0.867457288,0.971750396,0.822705157,0.828645076,0.711991637
43,0.907797173,0.674817499,0.729471695,0.770174575,0.803044151,0.696963893,0.64593473,0.844248017,0.715452221,0.832495289,0.661745086,0.792456041,0.813035773,0.620729415,0.734641711,0.653765871
44,0.625349988,0.995984093,0.728941538,0.923949778,0.701856262,0.872601089,0.904091144,0.838255496,0.788630475,0.764736366,0.739547307,0.971811658,0.932247763,0.986010764,0.649718889,0.89234699
45,0.975336183,0.672493226,0.626598507,0.89644826,0.829789245,0.936731511,0.655908951,0.918106925,0.680650928,0.665462377,0.665706319,0.925829888,0.866078888,0.80922617,0.743532194,0.950880216
46,0.756978043,0.926639776,0.775653963,0.750777772,0.785071914,0.72055115,0.899043752,0.801088156,0.692885078,0.959829829,0.753556489,0.817421144,0.962588844,0.849695198,0.646759216,0.975932849
47,0.851083221,0.733962246,0.655708829,0.917610076,0.848029102,0.813384437,0.957557033,0.915438884,0.660669952,0.724688827,0.699395656,0.897578517,0.613412974,0.827955874,0.904983474,0.950706255
48,0.736832699,0.928502922,0.644252695,0.938580917,0.650995465,0.758914916,0.918918146,0.659966971,0.691700558,0.888901027,0.888014615,0.856459053,0.877579378,0.817089777,0.700719624,0.738278397
49,0.672639087,0.963380225,0.833356718,0.760340567,0.784802321,0.978913336,0.661340561,0.834491933,0.802355472,0.844581694,0.607244074,0.948849564,0.972847313,0.826053273,0.87866033,0.968999752
50,0.882895454,0.661015617,0.830515344,0.842686019,0.769652269,0.894577694,0.973746806,0.970227405,0.780335749,0.645295218,0.99393648,0.935559235,0.649865072,0.968336753,0.947958545,0.807535223
51,0.836510174,0.759601082,0.621904656,0.734078897,0.921141379,0.601852809,0.733399669,0.759267477,0.814958241,0.967942247,0.738538398,0.738781281,0.895000499,0.780887176,0.689841929,0.780975806
52,0.656342808,0.670554795,0.799347109,0.76757018,0.96593836,0.74495756,0.83223534,0.852905715,0.605237783,0.865414949,0.671214387,0.984428127,0.659465091,0.765849649,0.634139867,0.998749701
53,0.800878004,0.838154007,0.626830591,0.899984188,0.683962237,0.959221716,0.682055856,0.676275088,0.614619867,0.788826778,0.825936453,0.626283456,0.910211047,0.781315534,0.809756108,0.776305099
54,0.760305224,0.823856133,0.662096098,0.672771252,0.944714248,0.978446185,0.749323727,0.708297869,0.857599817,0.763493668,0.610154542,0.662461039,0.886388892,0.863569577,0.610838397,0.688788865
55,0.692429919,0.868757097,0.607884215,0.641643433,0.919966434,0.671417865,0.861098443,0.695273112,0.639776557,0.697268876,0.888906773,0.942278587,0.932087946,0.758873412,0.867234055,0.681993718
56,0.717259092,0.958534327,0.605200769,0.634203412,0.683154502,0.610612882,0.672574174,0.833216624,0.76856982,0.957068684,0.926977425,0.736726941,0.703769373,0.751876963,0.836117977,0.707225456
57,0.849659563,0.763764661,0.820818872,0.774450612,0.717786304,0.979381323,0.905442318,0.65604527,0.94738719,0.794972479,0.957820891,0.919942102,0.770085402,0.608987723,0.707470944,0.816653686
58,0.853391288,0.703155074,0.65574243,0.933972095,0.993760872,0.810276073,0.668671714,0.708922931,0.607356271,0.965719523,0.647100433,0.83060659,0.709622088,0.821671201,0.860568155,0.931896721
59,0.682568509,0.604398331,0.654754252,0.960007457,0.949556031,0.838965241,0.840206744,0.86601467,0.670148511,0.965764778,0.76750821,0.753255411,0.807567082,0.618786387,0.666513348,0.895213447
60,0.633119467,0.841260844,0.698139644,0.755718246,0.715477495,0.742269087,0.887618362,0.718848686,0.826561856,0.790420161,0.865468466,0.974731896,0.893028839,0.685976151,0.612473254,0.704905618
61,0.838031172,0.620570325,0.798546499,0.83873714,0.733697556,0.908364881,0.642639301,0.630055113,0.891275502,0.798196526,0.875360959,0.773930935,0.698560813,0.927640927,0.919766352,0.877878588
62,0.708858055,0.836092267,0.744389559,0.636632829,0.96692543,0.654727452,0.980094942,0.778402309,0.674053172,0.816760379,0.949178334,0.892889955,0.922624459,0.863513347,0.876910626,0.939678261
63,0.699867204,0.795769985,0.688483777,0.995067203,0.977623736,0.615770725,0.882230069,0.970099327,0.672230138,0.827178092,0.966195319,0.613578391,0.878968107,0.718939603,0.969758478,0.988423298
64,0.977706596,0.789685687,0.94481706,0.937819759,0.727640189,0.93156619,0.614803054,0.838507951,0.692003535,0.648226754,0.630781281,0.87851551,0.735949986,0.889906709,0.626142536,0.726116135
65,0.815796517,0.916289266,0.727501001,0.850356551,0.954391099,0.846345275,0.69318379,0.609760313,0.94803955,0.608507764,0.949880669,0.811574854,0.975627079,0.919513294,0.999173644,0.740284726
66,0.906875316,0.760772365,0.791950248,0.851002185,0.949470846,0.993633388,0.907309366,0.767106713,0.768542801,0.895032921,0.695510858,0.644189645,0.741848863,0.714895597,0.718523248,0.6934431
67,0.616837276,0.607149574,0.995088956,0.771109253,0.753730659,0.871858913,0.687301555,0.979984474,0.914538006,0.635764401,0.76703231,0.951647323,0.977892809,0.786960604,0.845364556,0.666813578
68,0.99646745,0.692668681,0.97709271,0.85985866,0.843094718,0.805075404,0.692267925,0.670611213,0.688194484,0.674575305,0.911833789,0.740050104,0.623137071,0.987641052,0.953514354,0.971100913
69,0.997963129,0.6695581,0.758496808,0.90329539,0.878408247,0.661558363,0.92633325,0.689776229,0.689527046,0.814789769,0.837175974,0.832034483,0.636594735,0.950984345,0.706240017,0.651805969
70,0.955499232,0.982260599,0.944851047,0.92380643,0.862096792,0.820342948,0.634794704,0.763381285,0.749075407,0.703901514,0.889368045,0.798350294,0.632418486,0.688073281,0.873303505,0.630452344
71,0.940482766,0.798058611,0.792234631,0.836963114,0.929872386,0.739123683,0.871206461,0.826292786,0.706811308,0.951451995,0.918970409,0.863380734,0.940232692,0.94691768,0.883345191,0.934805331
72,0.878988585,0.872056309,0.847444551,0.901086656,0.663442042,0.952348304,0.948737411,0.611698913,0.9303267,0.651547947,0.734047542,0.897403303,0.664303958,0.92718681,0.932853671,0.802987094
73,0.602554349,0.714815253,0.846770767,0.992474471,0.852725411,0.703921432,0.853602281,0.815994152,0.911938158,0.642792256,0.904411161,0.816506631,0.985196802,0.736748866,0.853048757,0.972811242
74,0.641003891,0.974891395,0.875154289,0.627134824,0.720385427,0.883268835,0.626940241,0.832868184,0.738353223,0.848366207,0.618296814,0.948614722,0.989395588,0.987551142,0.899860733,0.652034496
75,0.903305278,0.609834767,0.608849421,0.729444088,0.795457276,0.908162967,0.873318151,0.778361083,0.709450667,0.9988498,0.770472521,0.78055481,0.665449528,0.917923819,0.87747289,0.688307845
76,0.632952418,0.872199721,0.861804486,0.709303811,0.980345425,0.660423157,0.77293392,0.977446368,0.767890927,0.855410379,0.759037759,0.709686081,0.993591059,0.763733603,0.957639681,0.691981842
77,0.685241882,0.612453633,0.86066673,0.747410537,0.9457433,0.789283963,0.987277371,0.674210206,0.947449267,0.910638741,0.908368738,0.937913291,0.904409596,0.850488129,0.652497951,0.613010472
78,0.968339139,0.846660126,0.918614916,0.792608941,0.646923276,0.650074317,0.874226115,0.772122358,0.680209891,0.796637819,0.625683575,0.832788561,0.707597362,0.91902364,0.724144784,0.78208806
79,0.604648216,0.628978755,0.756997423,0.791975534,0.840008219,0.716665031,0.877992754,0.944048959,0.911940396,0.61584753,0.792202779,0.641972071,0.696818006,0.994665037,0.656998217,0.799555261
80,0.847262294,0.880985988,0.823859473,0.603908339,0.730584523,0.807084657,0.6351466,0.740250772,0.613281244,0.631431399,0.75876931,0.653086302,0.827016339,0.875785988,0.92023468,0.680060098
81,0.666993033,0.641827136,0.8545721,0.882590291,0.612634458,0.974484898,0.620788513,0.816518534,0.883624208,0.948387649,0.885634773,0.920691233,0.735780077,0.925930045,0.632045939,0.957926662
82,0.81903695,0.926919108,0.780927314,0.857431078,0.810561064,0.892635809,0.632651993,0.624140834,0.698841294,0.663817872,0.948713427,0.687685595,0.990346102,0.734758317,0.672847166,0.915879403
83,0.86348311,0.799278287,0.82214542,0.887680711,0.691381897,0.998533566,0.989917265,0.860130275,0.67981698,0.872091297,0.628879364,0.612261001,0.703073155,0.785049183,0.947309002,0.890867628
84,0.897082608,0.770197334,0.738373997,0.748415505,0.995059825,0.616043677,0.946812598,0.831470163,0.775446168,0.890103064,0.794667577,0.949369295,0.960280746,0.768688371,0.710731119,0.836940131
85,0.964945338,0.684264876,0.849186633,0.852624088,0.893245209,0.652627074,0.886329986,0.963613008,0.671873244,0.69501733,0.988558038,0.672390781,0.941754037,0.796911143,0.69889243,0.948299961
86,0.778122102,0.805926942,0.743693348,0.837180341,0.665409549,0.756432615,0.987764929,0.703253373,0.862694666,0.730076026,0.90938925,0.652349464,0.987928418,0.781515817,0.694420185,0.629398699
87,0.667903162,0.807909579,0.734801271,0.931553346,0.772355009,0.699485709,0.846857995,0.882710887,0.666816763,0.667047687,0.614668571,0.894560806,0.865521811,0.78985235,0.93766818,0.922268061
88,0.834141746,0.947308512,0.682336484,0.644767848,0.707899845,0.622834742,0.812467811,0.974642277,0.615737416,0.648843966,0.780879611,0.973550007,0.726462442,0.802893923,0.616629144,0.65933728
89,0.994652049,0.986047479,0.601975992,0.980724714,0.855647975,0.947167318,0.781895942,0.806238411,0.795538632,0.866745703,0.655860502,0.611989436,0.723171977,0.881872305,0.680741381,0.869372973
90,0.987964818,0.637560286,0.869040847,0.777500088,0.947256902,0.670859916,0.877050381,0.935246116,0.977845688,0.873299211,0.798869906,0.847138896,0.947561994,0.828243899,0.612154824,0.972379478
91,0.8758107,0.870605354,0.686270061,0.863554188,0.757545762,0.860493191,0.642637212,0.863138122,0.99976549,0.619284816,0.990869674,0.762763184,0.94830138,0.912954194,0.826806504,0.895379684
92,0.951406225,0.761656129,0.730813265,0.867037354,0.923138377,0.904914054,0.91912546,0.774233326,0.927133686,0.648083622,0.817795639,0.602303464,0.729834332,0.746584614,0.758469077,0.878186883
93,0.755423241,0.779477449,0.695017652,0.749300717,0.690907851,0.62927837,0.841379437,0.867285119,0.847796138,0.785397618,0.751914312,0.94533346,0.807632714,0.791672751,0.610256826,0.736499131
94,0.752078248,0.759529112,0.832068948,0.813441019,0.843162037,0.905953305,0.925194295,0.88724923,0.982209478,0.607293033,0.678311194,0.60302515,0.858989886,0.95921222,0.697392919,0.970813818
95,0.624106956,0.973774411,0.740649075,0.640568331,0.794348704,0.702710627,0.713949161,0.722915986,0.921210359,0.815664511,0.72452308,0.844133513,0.88646027,0.7090496,0.765419641,0.648754437
96,0.67245974,0.872447142,0.672575339,0.810065353,0.883618505,0.642750769,0.826924888,0.702625113,0.98517075,0.793418259,0.92239702,0.820090617,0.617365013,0.85326055,0.980561337,0.840644728
97,0.927675544,0.953682585,0.691231909,0.684817936,0.844392396,0.764411388,0.935944521,0.960009249,0.741368552,0.694748224,0.912210206,0.709922414,0.929045727,0.769495301,0.86701996,0.638214126
98,0.84954373,0.780707071,0.834643385,0.667205683,0.894749498,0.945118831,0.68669592,0.638285822,0.609455434,0.8567886,0.842837614,0.818678965,0.692778838,0.756362398,0.837790534,0.798706744
99,0.995114208,0.654575901,0.878057822,0.761727507,0.771279846,0.887039106,0.876974461,0.996502397,0.651357716,0.64164386,0.889735527,0.831354767,0.709664267,0.631767748,0.6342633,0.95767635
100,0.67674693,0.729348625,0.690662561,0.741998522,0.627769537,0.807623916,0.627045025,0.920142603,0.693484833,0.816004766,0.952031635,0.860350948,0.813183115,0.729733501,0.733200765,0.867794782
101,0.997655744,0.864735676,0.823113367,0.892260204,0.786082245,0.624056937,0.824918726,0.983050114,0.670121177,0.876001956,0.680373475,0.814331074,0.63867058,0.780148375,0.902465332,0.73902861
102,0.86596469,0.918179984,0.970871128,0.693856833,0.759726366,0.660966405,0.996993401,0.970800387,0.815982852,0.936813318,0.808383191,0.849434275,0.635649773,0.902108168,0.651085393,0.930427052
103,0.912811235,0.883497879,0.614464152,0.721251342,0.705245028,0.744054563,0.635057099,0.974783129,0.821520896,0.722209724,0.758792607,0.778881016,0.840237733,0.806271771,0.967756789,0.798785393
104,0.996863206,0.940569983,0.683404206,0.972238086,0.646546559,0.926979883,0.752249317,0.951189728,0.947222676,0.92237016,0.916012175,0.721871656,0.632367713,0.761192072,0.669409806,0.877980436
105,0.738439891,0.99024408,0.856388831,0.928992225,0.653009869,0.944805793,0.969102876,0.794824768,0.842501175,0.90592392,0.669935451,0.801026431,0.759465211,0.658549597,0.747013769,0.627268924
106,0.610324763,0.654066516,0.985246045,0.819811814,0.986328864,0.772999151,0.724726453,0.802456745,0.775804675,0.642265874,0.856330526,0.686415273,0.847835182,0.860080437,0.660809941,0.624539851
107,0.912304634,0.78392017,0.623265518,0.997946527,0.623112224,0.878014092,0.99347157,0.695672042,0.656899747,0.648553976,0.721310059,0.640418324,0.876864537,0.624916719,0.803768851,0.998678742
108,0.925588108,0.846087775,0.722501448,0.849558335,0.810816586,0.770433354,0.652284151,0.954641686,0.77991386,0.677849005,0.74710374,0.765651901,0.931015158,0.893445752,0.907721957,0.604412506
109,0.766461599,0.792537661,0.607676911,0.703925283,0.904115929,0.654843882,0.814124053,0.686080749,0.60484831,0.696480583,0.990349502,0.920614845,0.983830658,0.795141618,0.643894479,0.819183796
110,0.781750934,0.937742833,0.639233032,0.795296455,0.660019466,0.729870371,0.894942831,0.790407252,0.750355314,0.757790511,0.783778707,0.914006618,0.956833876,0.982133875,0.914761355,0.726162758
111,0.875253882,0.77504125,0.701868249,0.936348632,0.61537054,0.960704797,0.784590986,0.854880591,0.863741569,0.958047096,0.854667873,0.845573434,0.626660816,0.807363209,0.6600676,0.894973507
112,0.804888768,0.872091112,0.61666916,0.633916806,0.886529355,0.628833734,0.628502691,0.60484339,0.982600559,0.895003344,0.741300563,0.718614233,0.739881292,0.909861412,0.864548244,0.674078227
113,0.669643734,0.63935826,0.864121088,0.905749065,0.706018571,0.608377984,0.632868667,0.987144014,0.718177911,0.907689259,0.849865428,0.752775856,0.682274905,0.648554567,0.846005187,0.909853512
114,0.857561701,0.812120853,0.616780489,0.987395511,0.919485677,0.717128815,0.991988132,0.840752636,0.832969063,0.899229272,0.924707915,0.862591443,0.651238299,0.735307002,0.971233456,0.689846245
115,0.74886681,0.772830753,0.775761996,0.845175833,0.977230335,0.696277085,0.648600551,0.678988196,0.95476996,0.858324325,0.714362716,0.926378776,0.944547999,0.938605735,0.967570613,0.700896408
116,0.902016771,0.784215799,0.936799421,0.891396271,0.910578979,0.862464735,0.670971508,0.818010768,0.993867896,0.974955227,0.617269494,0.665925926,0.652691509,0.890391964,0.927114132,0.685404547
117,0.802341077,0.936281211,0.893120618,0.816894882,0.836139076,0.803344219,0.719019381,0.826008797,0.875554121,0.949329166,0.854516542,0.904448615,0.664028654,0.78462299,0.603732648,0.698671546
118,0.890584686,0.996723981,0.63967124,0.760597726,0.920028387,0.681614254,0.82203398,0.893228518,0.84639418,0.675209894,0.742153827,0.913516714,0.821690606,0.602091845,0.904396304,0.614124542
119,0.898293513,0.680992224,0.983229392,0.747176301,0.730772647,0.65955522,0.722241686,0.950660305,0.998533735,0.747323812,0.779444252,0.888828375,0.954478312,0.837217734,0.756610279,0.765048736
120,0.878247259,0.601287305,0.847835735,0.742197204,0.917678933,0.637196256,0.835280907,0.792389156,0.85693021,0.625941438,0.831993515,0.824593835,0.824264038,0.841395067,0.870587175,0.9219956
121,0.707928288,0.930019764,0.799302273,0.630823312,0.623420372,0.733695327,0.913958791,0.883072374,0.915445986,0.806907623,0.776079599,0.658981011,0.731277101,0.773607746,0.635440172,0.688244781
122,0.839290118,0.894265246,0.999339005,0.973245333,0.85702608,0.768499221,0.854470946,0.914260647,0.647334476,0.763961956,0.935920914,0.753533181,0.828748908,0.835107744,0.673790501,0.744894177
123,0.733804515,0.610478683,0.609676706,0.932678817,0.709228324,0.807231506,0.719490229,0.976271698,0.703718704,0.771862725,0.9490921,0.936773427,0.674440567,0.921057324,0.783274755,0.793187549
124,0.653391989,0.632240606,0.891175723,0.798584461,0.774740281,0.891803291,0.90620516,0.663563267,0.84409006,0.654141633,0.900550034,0.862782063,0.982645848,0.627583207,0.622821888,0.71287483
125,0.704682273,0.69879152,0.962501832,0.69981848,0.70877989,0.903759305,0.779895937,0.910684223,0.626146463,0.795028477,0.61344544,0.625061281,0.962574981,0.655698148,0.812968273,0.764438241
126,0.738937331,0.959933338,0.608729359,0.865515874,0.985357774,0.824067273,0.974728985,0.620903152,0.767517328,0.704063116,0.892328386,0.992518836,0.702612025,0.861669841,0.679239053,0.826132102
127,0.785572995,0.988802132,0.843410909,0.739802549,0.645638314,0.660498731,0.690126772,0.700386665,0.940246423,0.824489115,0.809356365,0.645907549,0.944055877,0.889125721,0.627067345,0.883134039
128,0.817415287,0.632690138,0.783320257,0.793878515,0.666309816,0.978279259,0.939990149,0.867608935,0.784918224,0.764706217,0.860389387,0.818172748,0.624909242,0.80500106,0.922561447,0.783695951
129,0.620782631,0.91451128,0.680545513,0.703448334,0.665882541,0.732086026,0.902700602,0.807754344,0.68195251,0.951132031,0.951832742,0.94823137,0.695518485,0.780495738,0.993995862,0.908804991
130,0.610866968,0.626081837,0.785572551,0.963688082,0.815480719,0.799125003,0.64218948,0.862712042,0.928841264,0.752168003,0.91024474,0.985790662,0.681506584,0.809331852,0.714855183,0.917141768
131,0.831037346,0.853832967,0.919165664,0.758388189,0.966036027,0.813211547,0.663181929,0.878359647,0.91730454,0.726704671,0.942871703,0.962457302,0.710761795,0.993408589,0.656284611,0.680806267
132,0.673689936,0.957595884,0.861717021,0.660841713,0.776129367,0.84611921,0.633385634,0.952966547,0.921441414,0.802082709,0.986850646,0.767104392,0.993644128,0.867168,0.853868509,0.666381958
133,0.952771103,0.770995875,0.664893362,0.605043008,0.823902273,0.810959849,0.887741449,0.956103221,0.631762634,0.892598596,0.674964778,0.943270821,0.927625406,0.816317502,0.884097119,0.725740045
134,0.78846716,0.928654759,0.783706079,0.743119306,0.797684979,0.931299701,0.734083219,0.669504637,0.884805608,0.930391285,0.640254991,0.695949645,0.656788796,0.739176565,0.780140392,0.899530535
135,0.860459034,0.848371427,0.740949979,0.936579021,0.788514867,0.991641975,0.853656855,0.650505897,0.870471025,0.730041606,0.874530879,0.627856459,0.669952575,0.942294904,0.690871823,0.93481645
136,0.711710435,0.857152764,0.877660229,0.805061901,0.722124271,0.685057751,0.613275742,0.72157856,0.861265116,0.975321927,0.948481793,0.906425911,0.915378937,0.865993961,0.704114743,0.962878012
137,0.868292925,0.824176252,0.644395788,0.778822218,0.784143308,0.945825444,0.818659288,0.75216022,0.990720131,0.644288237,0.769019371,0.61680987,0.895961648,0.967230621,0.712014932,0.943336671
138,0.716887292,0.964308065,0.901584761,0.921962711,0.607202622,0.985124143,0.890668397,0.721900438,0.931757866,0.712608479,0.949101536,0.645032156,0.881474391,0.816279391,0.638613788,0.696757531
139,0.604961615,0.787507186,0.720506104,0.839342994,0.718895123,0.719967645,0.897277279,0.619257134,0.961157998,0.94090555,0.867121873,0.837288628,0.956920999,0.674132072,0.631587665,0.695804068
140,0.917831311,0.613868107,0.833122734,0.998175006,0.942278438,0.808578276,0.625456364,0.932549406,0.839591403,0.645973199,0.637542914,0.963850728,0.867680105,0.93171472,0.95159156,0.828708941
