age,annual_income,purchase_amount,gender,city,product_category,payment_method,is_returned
47,57410,216.96,Male,Philadelphia,Clothing,Debit Card,True
35,65054,273.14,Other,Houston,Home,UPI,True
46,95780,413.43,Female,Los Angeles,Electronics,PayPal,False
48,95810,428.44,Male,Houston,Electronics,Debit Card,True
53,93316,395.61,Other,San Diego,Electronics,PayPal,True
37,64201,251.47,Female,Los Angeles,Home,UPI,False
32,115586,651.02,Male,Philadelphia,Beauty,UPI,True
51,70998,280.29,Female,Houston,Sports,Debit Card,True
44,62159,255.71,Female,New York,Electronics,UPI,False
36,77531,313.08,Female,Houston,Sports,UPI,True
34,105879,529.08,Other,Chicago,Clothing,UPI,False
43,94173,412.04,Female,Los Angeles,Beauty,Debit Card,False
43,93953,401.25,Female,San Diego,Home,Credit Card,True
34,93998,430.4,Male,Phoenix,Home,UPI,True
52,92913,403.51,Male,New York,Sports,Debit Card,False
47,87050,365.53,Male,Los Angeles,Clothing,Credit Card,True
37,116706,717.36,Male,San Antonio,Electronics,UPI,True
55,76637,281.67,Male,Dallas,Sports,Credit Card,False
31,92258,421.0,Female,Los Angeles,Electronics,UPI,False
45,108192,555.06,Male,San Antonio,Home,Credit Card,False
36,73464,304.44,Male,Philadelphia,Electronics,UPI,False
40,119450,807.63,Other,Phoenix,Home,Credit Card,False
41,58823,251.27,Female,San Jose,Beauty,Credit Card,True
29,119404,747.0,Male,Phoenix,Clothing,UPI,True
45,115024,726.22,Female,Philadelphia,Home,Debit Card,True
44,59729,240.82,Other,Chicago,Electronics,Credit Card,True
47,87733,364.94,Other,Chicago,Home,Debit Card,True
41,132364,1088.3,Other,San Jose,Clothing,PayPal,True
35,62092,254.77,Other,New York,Electronics,Credit Card,False
45,82474,325.18,Male,Chicago,Electronics,Debit Card,True
46,86043,357.5,Female,Philadelphia,Electronics,Debit Card,True
31,101354,471.45,Male,Los Angeles,Clothing,PayPal,False
43,57557,230.0,Male,San Jose,Electronics,Debit Card,False
51,75877,300.65,Other,San Antonio,Beauty,UPI,False
41,109017,572.32,Other,New York,Electronics,Debit Card,False
35,88959,390.06,Other,Chicago,Sports,Debit Card,False
41,94300,396.17,Male,Los Angeles,Clothing,Debit Card,True
47,95413,428.28,Female,New York,Beauty,Credit Card,False
44,57783,240.32,Female,Dallas,Clothing,PayPal,True
52,74416,305.2,Female,San Jose,Clothing,Credit Card,False
52,116209,750.09,Male,Houston,Beauty,Credit Card,True
44,93314,408.67,Female,San Antonio,Clothing,Credit Card,False
36,104685,534.62,Male,New York,Home,UPI,True
42,115408,701.35,Male,San Antonio,Electronics,Debit Card,True
37,76952,291.91,Female,San Antonio,Sports,PayPal,True
40,102480,490.7,Male,San Jose,Home,Debit Card,False
33,74712,313.17,Female,Dallas,Clothing,Credit Card,True
36,68204,277.15,Male,Philadelphia,Home,Credit Card,False
43,105604,538.25,Other,San Antonio,Home,Credit Card,True
40,76932,304.39,Female,San Diego,Beauty,PayPal,True
34,78757,336.1,Other,Los Angeles,Electronics,Credit Card,False
49,108172,529.44,Male,Chicago,Beauty,UPI,False
36,71639,275.39,Female,Chicago,Electronics,Debit Card,False
36,71784,291.62,Male,Houston,Sports,PayPal,False
41,100054,445.59,Male,San Diego,Sports,Credit Card,True
34,93089,389.94,Other,Los Angeles,Beauty,UPI,False
40,71398,293.42,Male,San Antonio,Clothing,PayPal,True
38,95147,419.5,Male,San Antonio,Beauty,Credit Card,False
40,123275,841.12,Other,Dallas,Home,Credit Card,False
54,133012,1004.33,Other,Chicago,Sports,PayPal,True
47,75478,289.83,Female,Phoenix,Electronics,Debit Card,True
52,72921,273.18,Male,San Diego,Clothing,Credit Card,True
43,88291,375.73,Male,Houston,Beauty,Debit Card,False
36,78416,334.34,Male,San Diego,Sports,Debit Card,False
43,120691,780.32,Female,Houston,Beauty,Debit Card,True
37,106084,495.08,Male,San Jose,Home,Debit Card,True
46,110537,598.78,Other,Chicago,Home,PayPal,False
46,83143,326.9,Other,Philadelphia,Beauty,Debit Card,True
35,50755,216.14,Male,San Diego,Beauty,PayPal,True
44,87796,382.06,Male,Philadelphia,Home,Debit Card,False
38,92832,402.73,Other,New York,Clothing,Debit Card,False
34,123970,821.85,Female,Dallas,Beauty,PayPal,False
47,62976,251.13,Female,Philadelphia,Beauty,PayPal,True
41,113323,685.12,Female,New York,Electronics,Credit Card,True
48,66122,262.43,Other,San Jose,Sports,UPI,True
41,111309,646.87,Male,Phoenix,Electronics,Debit Card,False
48,119368,745.3,Male,San Diego,Electronics,Credit Card,True
44,65665,249.8,Other,Houston,Beauty,PayPal,True
43,65173,266.1,Other,Phoenix,Electronics,Debit Card,True
37,123452,812.26,Female,San Jose,Home,Credit Card,True
38,111148,613.34,Other,Philadelphia,Clothing,PayPal,True
35,87229,358.15,Female,New York,Home,Credit Card,True
43,92014,408.59,Female,Dallas,Electronics,UPI,False
27,37299,159.61,Other,San Diego,Electronics,UPI,True
33,114704,636.96,Other,Phoenix,Electronics,Credit Card,True
46,88832,395.92,Male,San Diego,Home,PayPal,True
50,74850,299.07,Female,Houston,Electronics,Credit Card,False
42,117036,713.44,Female,Los Angeles,Clothing,Debit Card,True
37,105429,536.74,Male,Phoenix,Clothing,Debit Card,False
48,105634,535.35,Male,Philadelphia,Beauty,PayPal,False
38,77695,329.26,Other,San Antonio,Electronics,Credit Card,True
43,79242,318.19,Other,New York,Electronics,PayPal,False
55,119430,786.68,Female,San Antonio,Beauty,PayPal,True
49,122499,834.84,Female,New York,Clothing,Credit Card,True
46,116373,698.17,Other,Phoenix,Electronics,Credit Card,False
44,61074,218.35,Other,Phoenix,Beauty,Credit Card,True
38,110873,624.5,Female,Dallas,Beauty,Credit Card,True
43,70335,289.14,Other,New York,Sports,PayPal,False
52,56660,208.12,Male,San Jose,Sports,PayPal,False
38,123632,910.56,Female,Dallas,Sports,UPI,True
33,118572,717.48,Female,Dallas,Beauty,Credit Card,True
47,96246,406.95,Male,San Jose,Electronics,Debit Card,False
41,83138,334.51,Male,Phoenix,Clothing,UPI,True
48,92117,365.87,Female,New York,Beauty,UPI,True
52,93789,406.55,Male,Los Angeles,Electronics,Credit Card,False
46,102665,482.34,Other,Los Angeles,Home,Debit Card,False
48,71122,255.63,Female,Philadelphia,Clothing,Credit Card,True
26,54202,222.58,Female,Philadelphia,Sports,PayPal,False
47,94275,424.32,Female,New York,Electronics,Debit Card,False
37,110642,604.91,Female,Phoenix,Electronics,PayPal,True
38,72873,298.0,Other,Chicago,Beauty,Debit Card,False
39,94338,437.96,Male,Houston,Clothing,Debit Card,False
38,74858,304.94,Female,Dallas,Clothing,UPI,False
47,66681,261.94,Male,Houston,Beauty,PayPal,False
36,108436,547.18,Male,Dallas,Sports,PayPal,False
38,113755,647.84,Other,San Jose,Beauty,UPI,False
47,122475,830.54,Female,San Antonio,Sports,PayPal,False
37,90662,397.05,Other,Los Angeles,Clothing,UPI,False
42,129786,966.3,Male,New York,Beauty,UPI,True
44,78164,321.06,Male,San Diego,Clothing,PayPal,True
38,86851,386.75,Other,San Jose,Electronics,Debit Card,False
46,101214,478.5,Male,San Antonio,Electronics,UPI,True
40,102366,485.05,Male,San Jose,Beauty,PayPal,True
22,60456,241.61,Male,San Diego,Beauty,Debit Card,True
37,76565,308.63,Other,San Antonio,Beauty,Debit Card,True
39,106435,559.56,Male,New York,Electronics,Credit Card,True
34,83951,355.3,Male,Phoenix,Home,UPI,True
40,95953,430.65,Male,Philadelphia,Sports,Debit Card,False
31,93611,429.35,Other,New York,Sports,PayPal,True
42,94790,412.77,Male,San Diego,Sports,UPI,True
49,101936,483.92,Other,Houston,Home,Debit Card,False
38,64629,239.08,Female,San Jose,Clothing,UPI,False
37,41879,195.84,Female,Chicago,Home,Debit Card,False
35,74495,293.33,Other,San Diego,Sports,PayPal,True
38,75657,278.35,Male,New York,Clothing,Debit Card,True
47,82083,311.35,Male,Dallas,Clothing,Debit Card,True
46,117381,687.09,Male,Dallas,Beauty,UPI,False
33,67056,286.81,Female,San Jose,Clothing,Debit Card,False
44,73257,294.88,Male,Dallas,Sports,Debit Card,False
37,70186,277.74,Male,Houston,Electronics,UPI,True
37,85803,361.48,Other,Philadelphia,Clothing,Credit Card,True
30,102280,527.83,Male,Chicago,Clothing,Debit Card,False
46,88303,386.88,Female,Philadelphia,Electronics,Credit Card,False
37,73909,310.42,Female,Philadelphia,Sports,Debit Card,False
37,37727,182.77,Female,Houston,Sports,Credit Card,True
43,84110,349.89,Male,Philadelphia,Home,Credit Card,False
40,90478,411.77,Male,Philadelphia,Beauty,UPI,True
39,116511,779.39,Female,Philadelphia,Home,PayPal,False
43,64196,268.6,Other,Los Angeles,Electronics,Credit Card,True
40,132247,1035.8,Other,Los Angeles,Beauty,Credit Card,True
40,104684,518.22,Female,San Jose,Sports,Credit Card,True
32,70399,286.32,Male,Dallas,Home,Debit Card,False
45,74790,294.76,Male,San Diego,Clothing,Debit Card,False
37,69599,281.61,Other,San Jose,Clothing,Debit Card,False
51,120702,841.09,Male,Los Angeles,Beauty,UPI,True
43,106966,573.19,Male,Houston,Electronics,Credit Card,True
53,122686,896.79,Female,New York,Beauty,UPI,False
54,114635,711.4,Female,Houston,Sports,Debit Card,True
27,50698,211.43,Other,San Antonio,Home,Debit Card,True
47,71101,264.26,Male,San Diego,Electronics,Debit Card,True
37,89830,380.99,Other,Phoenix,Sports,Credit Card,True
44,121113,790.59,Male,Los Angeles,Clothing,UPI,True
46,122000,840.07,Other,San Jose,Sports,Credit Card,True
36,94387,430.9,Male,Phoenix,Sports,PayPal,True
47,75497,294.09,Female,New York,Electronics,UPI,False
40,79600,331.74,Female,Houston,Clothing,UPI,False
48,76536,285.37,Other,Los Angeles,Sports,UPI,True
47,77884,310.08,Male,Philadelphia,Sports,Credit Card,True
32,85161,359.09,Male,Phoenix,Clothing,Debit Card,False
51,106703,546.36,Female,Houston,Sports,Credit Card,False
53,73733,280.53,Female,Philadelphia,Electronics,PayPal,False
48,132109,1054.65,Female,San Jose,Home,Debit Card,False
32,63783,273.43,Female,San Jose,Home,PayPal,True
42,123603,800.92,Male,San Antonio,Sports,UPI,True
39,103417,511.79,Male,Dallas,Sports,Debit Card,True
49,68625,246.38,Male,Houston,Clothing,PayPal,True
39,61753,253.33,Other,Chicago,Home,Debit Card,True
41,100101,459.6,Other,Philadelphia,Clothing,UPI,True
51,81903,344.75,Male,San Jose,Sports,Debit Card,False
37,95874,428.51,Female,Los Angeles,Beauty,UPI,False
44,105640,546.0,Female,Houston,Clothing,Credit Card,True
46,65688,262.86,Male,New York,Beauty,Debit Card,True
38,83556,342.19,Other,Los Angeles,Electronics,Debit Card,True
50,120729,795.73,Other,Philadelphia,Home,Debit Card,True
49,117139,736.22,Male,New York,Sports,Credit Card,True
53,112770,607.55,Other,Los Angeles,Electronics,Credit Card,True
47,118567,811.12,Male,San Diego,Clothing,Credit Card,True
41,96618,432.51,Other,Chicago,Clothing,UPI,False
39,56641,244.56,Male,Houston,Electronics,Debit Card,True
41,69904,277.14,Male,Los Angeles,Electronics,UPI,True
24,63370,253.17,Female,Dallas,Clothing,Debit Card,True
38,117924,729.4,Other,New York,Home,Credit Card,True
39,61240,270.06,Male,San Jose,Clothing,Credit Card,False
40,120566,811.39,Female,San Antonio,Clothing,Debit Card,False
31,79343,310.19,Male,Phoenix,Home,Debit Card,True
38,87607,368.37,Female,Houston,Electronics,PayPal,True
49,111619,665.81,Other,Los Angeles,Home,Credit Card,False
48,83910,339.45,Other,Dallas,Sports,Debit Card,False
35,122192,812.92,Male,San Diego,Home,UPI,False
33,69662,296.31,Other,Chicago,Clothing,PayPal,False
49,98163,457.12,Female,New York,Beauty,PayPal,False
28,72796,297.96,Female,San Diego,Electronics,Credit Card,True
44,121411,875.34,Male,San Antonio,Clothing,UPI,True
46,100077,430.04,Other,Los Angeles,Home,PayPal,False
40,108219,563.07,Other,Houston,Sports,Debit Card,False
37,108622,554.54,Male,San Diego,Electronics,PayPal,True
38,63545,236.9,Female,Philadelphia,Sports,Debit Card,True
37,72396,280.6,Other,Chicago,Sports,UPI,True
57,100757,470.04,Male,Houston,Electronics,PayPal,False
36,60851,259.62,Other,Houston,Beauty,PayPal,False
42,100498,420.08,Other,New York,Clothing,UPI,False
45,86606,358.87,Other,San Diego,Electronics,PayPal,False
45,78986,305.37,Male,Houston,Sports,PayPal,True
48,58404,203.19,Female,Houston,Electronics,Credit Card,True
41,65251,263.84,Other,San Diego,Electronics,Debit Card,False
45,118610,788.05,Other,New York,Beauty,PayPal,True
39,74349,299.49,Female,Houston,Sports,Credit Card,True
51,102872,490.95,Female,Houston,Sports,Debit Card,True
34,71170,273.62,Male,Phoenix,Home,UPI,False
38,104725,555.73,Other,San Jose,Electronics,UPI,True
49,88461,365.06,Other,Dallas,Electronics,UPI,True
41,107014,526.67,Female,Houston,Beauty,PayPal,False
43,68965,278.88,Female,Chicago,Home,Credit Card,False
58,126246,947.55,Other,Los Angeles,Sports,PayPal,True
52,128295,990.95,Female,San Diego,Electronics,PayPal,True
39,142921,1226.6,Female,New York,Beauty,PayPal,False
42,75571,312.93,Male,Los Angeles,Home,Credit Card,False
37,106211,499.14,Other,Philadelphia,Clothing,Credit Card,False
37,106714,529.26,Male,Houston,Beauty,PayPal,True
33,94232,426.95,Other,Los Angeles,Home,Debit Card,False
45,129854,981.72,Male,Dallas,Sports,Debit Card,True
45,69649,264.18,Other,Philadelphia,Home,Debit Card,False
41,67996,272.91,Male,Los Angeles,Home,PayPal,False
50,101371,471.3,Male,Philadelphia,Clothing,UPI,False
45,75961,311.51,Male,Philadelphia,Sports,Debit Card,True
44,111041,612.88,Other,Dallas,Beauty,UPI,True
32,51167,225.58,Female,San Antonio,Clothing,PayPal,False
46,99285,441.42,Other,Philadelphia,Beauty,PayPal,False
41,121878,831.89,Male,San Diego,Beauty,PayPal,False
36,116797,679.1,Male,Houston,Electronics,Debit Card,False
33,90526,417.64,Male,Phoenix,Home,UPI,True
41,80019,317.87,Female,San Diego,Sports,PayPal,True
50,100502,490.19,Other,New York,Clothing,UPI,False
35,50327,204.89,Female,Los Angeles,Beauty,UPI,True
44,121973,787.31,Male,Los Angeles,Beauty,Debit Card,False
48,51933,214.84,Male,Dallas,Clothing,UPI,False
35,67874,277.06,Female,Houston,Clothing,Debit Card,True
32,80415,314.97,Other,Dallas,Home,Credit Card,True
32,127112,898.1,Female,Dallas,Clothing,PayPal,False
54,123364,911.85,Male,Chicago,Clothing,Debit Card,False
40,75713,311.68,Female,San Antonio,Electronics,PayPal,False
34,56840,229.16,Male,San Antonio,Sports,UPI,True
47,95173,400.45,Female,Houston,Electronics,Debit Card,False
44,82737,338.88,Female,New York,Beauty,Credit Card,False
40,121718,846.55,Male,Philadelphia,Clothing,Debit Card,True
47,74111,293.51,Male,San Diego,Home,PayPal,False
39,84625,344.3,Female,Dallas,Sports,UPI,True
48,68990,264.72,Other,Phoenix,Clothing,Credit Card,True
28,88487,397.99,Other,San Jose,Electronics,Debit Card,False
44,96145,412.63,Female,Phoenix,Home,UPI,True
33,54797,231.72,Male,Los Angeles,Home,Credit Card,True
44,65988,265.37,Other,San Diego,Beauty,PayPal,False
37,78124,303.7,Male,Houston,Sports,Credit Card,False
33,73607,320.78,Female,Houston,Clothing,Credit Card,True
47,97806,454.11,Female,Los Angeles,Clothing,PayPal,False
35,78284,325.55,Female,San Diego,Clothing,UPI,False
55,89868,383.85,Female,Houston,Clothing,PayPal,False
55,104655,511.1,Other,Phoenix,Beauty,PayPal,False
45,104833,520.0,Other,Chicago,Sports,Credit Card,False
45,129810,1069.09,Other,Phoenix,Sports,Credit Card,False
35,89192,368.67,Male,Philadelphia,Home,Debit Card,True
39,84375,371.87,Female,Houston,Home,Credit Card,False
31,53302,222.0,Male,Chicago,Beauty,Debit Card,True
49,79302,306.78,Female,Dallas,Home,PayPal,True
43,126087,1006.93,Other,Dallas,Beauty,UPI,False
42,74305,293.75,Male,San Diego,Electronics,Debit Card,True
27,70921,275.15,Female,Phoenix,Electronics,Debit Card,False
45,113494,652.55,Female,New York,Beauty,PayPal,True
40,49243,213.63,Other,Chicago,Clothing,PayPal,False
45,94493,415.3,Other,San Diego,Clothing,UPI,False
49,87204,367.85,Male,Dallas,Electronics,PayPal,True
32,68432,284.16,Other,Houston,Sports,Debit Card,False
28,74154,301.96,Male,Los Angeles,Clothing,Credit Card,False
45,67226,258.7,Female,Phoenix,Clothing,Credit Card,False
49,121917,851.48,Male,Dallas,Electronics,PayPal,False
43,94706,413.06,Female,Houston,Electronics,Credit Card,False
36,82708,339.9,Female,Dallas,Clothing,PayPal,False
39,109686,592.64,Female,Houston,Sports,UPI,True
37,74745,289.79,Male,San Diego,Clothing,UPI,True
48,126589,928.54,Other,Los Angeles,Beauty,Credit Card,True
41,98884,450.24,Male,Los Angeles,Clothing,PayPal,True
42,112670,653.48,Female,San Antonio,Clothing,Credit Card,False
41,83825,358.4,Male,Houston,Clothing,Credit Card,True
48,72338,279.44,Female,San Antonio,Electronics,PayPal,False
40,77355,315.59,Male,San Diego,Beauty,Credit Card,False
45,111741,653.11,Male,Chicago,Electronics,PayPal,True
38,96900,425.34,Other,Dallas,Home,PayPal,True
44,81350,330.46,Other,Los Angeles,Home,UPI,True
47,85603,364.61,Male,San Jose,Clothing,PayPal,False
55,96044,420.93,Male,Philadelphia,Clothing,Debit Card,True
41,125279,970.84,Female,New York,Electronics,Debit Card,False
39,64278,250.99,Male,Los Angeles,Electronics,PayPal,False
41,69034,255.0,Female,New York,Home,Debit Card,True
45,108342,551.58,Female,Los Angeles,Home,PayPal,False
32,72176,276.22,Male,Los Angeles,Home,Debit Card,False
36,72728,305.17,Female,Phoenix,Clothing,Debit Card,True
47,78851,304.47,Other,San Diego,Clothing,PayPal,False
35,74598,310.04,Other,Philadelphia,Sports,PayPal,True
51,97188,461.29,Female,Dallas,Sports,Credit Card,False
50,103023,496.81,Male,Los Angeles,Clothing,Debit Card,True
52,125211,910.88,Other,New York,Clothing,Credit Card,False
34,53598,222.79,Male,Houston,Clothing,UPI,False
42,74640,300.12,Male,San Antonio,Electronics,Credit Card,False
41,72021,284.19,Female,San Diego,Beauty,UPI,True
32,72889,296.88,Female,Dallas,Electronics,Credit Card,True
41,46324,201.49,Female,Dallas,Home,Debit Card,True
45,72401,309.62,Other,San Diego,Clothing,PayPal,True
35,64876,252.86,Male,Philadelphia,Clothing,PayPal,True
34,119658,745.85,Female,Phoenix,Beauty,Credit Card,False
37,83924,344.0,Other,Chicago,Clothing,PayPal,True
39,67063,250.2,Male,Chicago,Sports,PayPal,False
49,113255,696.87,Other,Dallas,Electronics,Credit Card,True
39,49673,218.42,Female,Houston,Clothing,Debit Card,True
44,88733,380.89,Male,Dallas,Clothing,PayPal,True
39,93673,407.96,Other,Philadelphia,Home,PayPal,True
31,67669,268.01,Other,San Diego,Beauty,UPI,True
34,64617,266.25,Female,New York,Home,PayPal,True
42,124834,856.33,Female,Los Angeles,Clothing,Credit Card,False
51,60447,240.93,Male,Houston,Beauty,UPI,True
39,63797,254.81,Female,Phoenix,Beauty,PayPal,True
38,105921,536.81,Male,Los Angeles,Clothing,UPI,False
42,100990,489.89,Male,Los Angeles,Clothing,PayPal,False
40,123657,874.82,Male,San Antonio,Sports,Credit Card,False
47,86640,368.85,Female,Phoenix,Beauty,UPI,False
50,81427,333.21,Other,San Diego,Beauty,UPI,True
53,59586,213.67,Male,Dallas,Sports,Debit Card,True
