age,gender,city,annual_income,product_category,purchase_amount,payment_method,is_returned
41,Other,New York,78760,Sports,216.03,Debit Card,True
50,Female,San Diego,32689,Sports,30.35,PayPal,False
33,Female,Phoenix,90991,Home,503.78,PayPal,True
30,Male,Los Angeles,53673,Electronics,156.56,Debit Card,True
30,Female,San Diego,49161,Home,160.54,Debit Card,False
47,Female,Phoenix,105266,Sports,595.37,PayPal,False
42,Male,San Diego,137373,Sports,1187.88,UPI,True
25,Male,Dallas,127187,Home,761.3,UPI,True
60,Male,Houston,85257,Electronics,448.4,Debit Card,True
24,Other,Phoenix,30011,Clothing,41.14,Credit Card,True
33,Male,San Jose,70457,Clothing,386.42,Credit Card,False
49,Male,San Jose,56442,Clothing,39.83,Credit Card,True
43,Female,Phoenix,108026,Home,539.63,Debit Card,False
45,Female,Los Angeles,92371,Clothing,176.36,Debit Card,True
29,Other,Chicago,146338,Electronics,159.68,UPI,False
42,Other,Chicago,45826,Clothing,189.97,Credit Card,True
40,Other,San Diego,105296,Home,500.27,Debit Card,True
35,Male,Chicago,100174,Electronics,597.37,Credit Card,False
39,Other,Chicago,108619,Beauty,1139.55,Credit Card,True
36,Female,Philadelphia,91990,Beauty,891.11,UPI,False
53,Male,San Jose,122297,Electronics,712.07,Credit Card,False
48,Other,San Diego,84634,Clothing,738.42,Credit Card,False
45,Other,San Jose,69748,Clothing,529.52,UPI,True
55,Male,San Jose,81720,Sports,434.2,Debit Card,True
22,Other,San Diego,56608,Clothing,319.04,Debit Card,False
64,Male,Philadelphia,53844,Beauty,112.48,UPI,True
49,Male,New York,123665,Clothing,554.01,Credit Card,False
22,Other,San Jose,111686,Clothing,650.67,UPI,True
18,Female,San Jose,112282,Clothing,549.12,Debit Card,True
39,Other,New York,100396,Beauty,579.73,Debit Card,False
23,Other,Dallas,39047,Sports,71.36,Debit Card,True
18,Other,New York,67543,Clothing,405.8,UPI,True
47,Male,San Diego,118240,Beauty,479.97,Credit Card,True
54,Other,Dallas,114174,Clothing,1212.76,Debit Card,True
39,Female,San Diego,134627,Sports,1230.57,UPI,False
38,Male,San Diego,110051,Beauty,594.2,Credit Card,True
19,Other,San Antonio,114014,Clothing,730.15,UPI,False
38,Female,Dallas,88799,Home,364.37,Debit Card,True
40,Female,San Antonio,149822,Beauty,727.71,Debit Card,False
36,Male,San Antonio,127810,Electronics,968.92,Credit Card,False
49,Other,Dallas,66797,Clothing,256.31,UPI,False
24,Female,Houston,132294,Home,376.93,Credit Card,False
35,Male,New York,127459,Sports,82.96,Debit Card,False
52,Male,San Jose,115671,Beauty,144.17,Credit Card,False
46,Male,San Jose,119809,Beauty,64.94,Debit Card,False
57,Other,Houston,97092,Sports,208.58,UPI,True
49,Other,Dallas,51326,Sports,104.68,UPI,False
43,Male,Houston,113632,Clothing,1366.29,Debit Card,True
65,Male,Houston,86053,Home,151.25,PayPal,False
35,Female,San Jose,88627,Clothing,699.47,Credit Card,True
62,Male,Chicago,67235,Sports,163.12,UPI,True
30,Female,San Jose,96775,Electronics,916.43,Debit Card,False
42,Other,Los Angeles,84210,Home,560.21,PayPal,True
44,Other,Los Angeles,77108,Home,427.21,Credit Card,True
55,Other,San Antonio,47274,Clothing,24.43,Debit Card,False
18,Female,San Diego,75274,Home,101.2,Debit Card,True
56,Female,New York,99338,Sports,694.73,Credit Card,True
38,Male,San Antonio,132536,Electronics,156.18,Credit Card,True
43,Male,Chicago,104821,Beauty,514.03,UPI,False
60,Female,Dallas,147600,Sports,677.15,UPI,False
53,Male,San Antonio,78435,Clothing,126.14,UPI,True
33,Male,Phoenix,119553,Beauty,443.29,PayPal,False
30,Female,New York,34901,Electronics,384.96,Debit Card,False
60,Female,San Antonio,133559,Electronics,1208.97,PayPal,True
22,Other,San Jose,48997,Electronics,191.05,Debit Card,True
46,Male,Phoenix,34807,Clothing,26.19,Credit Card,True
22,Other,San Jose,60327,Electronics,685.95,UPI,False
33,Female,Houston,105998,Beauty,296.58,UPI,True
52,Female,San Jose,149822,Clothing,1292.79,Debit Card,False
38,Female,Philadelphia,102846,Clothing,732.78,PayPal,False
49,Male,Phoenix,103532,Sports,1096.3,PayPal,True
36,Male,San Diego,138056,Home,777.9,Debit Card,False
56,Female,Dallas,90840,Beauty,37.34,PayPal,True
37,Female,San Diego,105768,Beauty,804.07,PayPal,True
31,Female,Philadelphia,106808,Beauty,230.58,PayPal,False
36,Male,San Antonio,94091,Electronics,78.32,Debit Card,True
39,Other,San Antonio,61148,Beauty,171.0,Credit Card,True
36,Female,Houston,75583,Sports,377.37,UPI,False
49,Other,San Antonio,50670,Sports,244.08,PayPal,False
34,Female,San Antonio,61193,Home,608.04,Debit Card,True
53,Male,Houston,73573,Sports,384.66,PayPal,True
36,Other,Houston,63362,Beauty,41.09,PayPal,True
53,Other,Philadelphia,135287,Beauty,620.98,UPI,True
26,Male,Houston,59021,Sports,118.93,UPI,False
22,Male,Phoenix,82917,Beauty,708.61,Credit Card,False
42,Male,Chicago,111850,Electronics,1050.42,Credit Card,False
39,Other,Phoenix,30403,Electronics,286.05,Credit Card,True
45,Other,San Diego,97536,Sports,489.4,Debit Card,True
31,Other,San Jose,75157,Clothing,599.03,UPI,False
23,Male,Chicago,35919,Electronics,115.37,UPI,False
65,Male,Philadelphia,53325,Clothing,162.48,Debit Card,False
65,Male,Dallas,93493,Sports,218.66,Debit Card,False
25,Female,Dallas,111813,Beauty,214.41,UPI,False
47,Male,Phoenix,56878,Electronics,272.07,UPI,False
19,Other,San Jose,88601,Electronics,948.82,PayPal,True
27,Female,Chicago,50095,Clothing,341.65,PayPal,False
24,Female,San Diego,51440,Clothing,32.12,PayPal,True
40,Male,Los Angeles,126340,Home,956.08,PayPal,True
57,Other,New York,148336,Clothing,673.62,UPI,False
63,Male,Philadelphia,67755,Clothing,556.59,Credit Card,False
30,Female,Dallas,78560,Home,547.52,Debit Card,False
34,Male,Los Angeles,49382,Home,349.29,UPI,False
47,Female,Philadelphia,128894,Electronics,572.69,Credit Card,False
55,Female,San Jose,126311,Electronics,447.91,UPI,False
49,Other,San Antonio,107714,Sports,811.71,UPI,True
33,Male,Dallas,110087,Electronics,779.65,UPI,False
52,Male,Phoenix,141474,Home,682.1,UPI,True
26,Other,Los Angeles,87097,Electronics,170.89,Debit Card,True
40,Other,Chicago,111011,Sports,791.74,UPI,True
55,Female,Dallas,140569,Sports,1037.6,Debit Card,False
54,Female,Dallas,145501,Electronics,251.93,UPI,False
43,Male,Houston,141592,Home,870.73,UPI,True
24,Female,Phoenix,112707,Electronics,716.71,PayPal,False
46,Female,Houston,44231,Clothing,31.08,Credit Card,True
35,Other,New York,101354,Electronics,927.05,Credit Card,False
41,Female,Phoenix,135079,Sports,1180.86,PayPal,False
65,Female,New York,58093,Clothing,296.54,UPI,True
50,Male,San Diego,103431,Beauty,1018.62,UPI,True
43,Other,San Antonio,121363,Home,1350.23,Debit Card,True
55,Other,New York,149822,Home,235.99,UPI,True
41,Female,San Diego,40782,Home,37.88,Credit Card,True
43,Male,New York,78579,Home,117.36,Credit Card,False
18,Female,Houston,46849,Electronics,277.16,UPI,False
43,Female,Philadelphia,62305,Beauty,39.32,Credit Card,True
55,Other,Philadelphia,115452,Clothing,119.04,UPI,True
21,Male,San Jose,80236,Sports,158.01,Credit Card,False
63,Female,Chicago,77967,Clothing,139.7,Debit Card,True
41,Female,Dallas,107930,Sports,52.7,Debit Card,True
32,Male,Chicago,129110,Beauty,528.95,UPI,False
51,Other,Houston,104914,Clothing,1190.03,Credit Card,True
53,Other,Chicago,82109,Home,656.23,UPI,True
60,Female,New York,47164,Clothing,52.54,UPI,False
38,Male,Philadelphia,44827,Sports,240.38,UPI,True
39,Male,Dallas,77122,Home,330.28,PayPal,False
36,Female,New York,40373,Home,55.61,Debit Card,False
18,Female,Los Angeles,75879,Home,105.53,PayPal,False
36,Male,Los Angeles,141399,Home,414.96,Credit Card,True
41,Other,San Antonio,30011,Home,74.56,UPI,False
59,Male,Philadelphia,65637,Electronics,422.7,Debit Card,False
48,Female,Philadelphia,142227,Home,1060.98,Credit Card,True
60,Male,San Jose,104242,Beauty,73.07,PayPal,False
37,Other,Houston,135599,Electronics,991.9,Debit Card,False
48,Other,Philadelphia,87342,Clothing,84.08,UPI,False
52,Other,San Diego,78888,Beauty,754.76,Credit Card,True
51,Female,Dallas,112744,Beauty,396.64,UPI,True
50,Female,San Diego,37636,Home,45.62,UPI,False
39,Female,Houston,67342,Sports,34.85,Debit Card,True
33,Female,Dallas,88361,Beauty,41.65,UPI,True
56,Female,Philadelphia,140672,Home,478.44,UPI,False
53,Female,New York,83188,Clothing,61.74,UPI,False
31,Female,San Diego,56467,Electronics,215.11,Credit Card,False
61,Female,New York,147598,Electronics,867.48,Credit Card,False
19,Male,New York,63007,Clothing,341.83,Debit Card,False
62,Female,San Antonio,139368,Electronics,1175.04,UPI,True
65,Female,Los Angeles,83614,Beauty,117.56,PayPal,False
59,Female,San Jose,68197,Home,730.95,PayPal,False
41,Female,Philadelphia,62048,Beauty,347.24,UPI,False
65,Male,Dallas,113886,Sports,549.34,Credit Card,False
22,Female,San Jose,130651,Electronics,700.71,Credit Card,False
30,Female,San Diego,75735,Clothing,37.03,UPI,True
25,Other,San Jose,118359,Electronics,552.85,Credit Card,True
44,Female,San Antonio,61849,Home,297.25,Debit Card,True
36,Female,Los Angeles,88401,Clothing,48.41,PayPal,True
38,Female,Los Angeles,105790,Home,916.33,PayPal,True
22,Other,Chicago,81946,Beauty,630.92,UPI,False
30,Male,San Antonio,106251,Clothing,785.85,Credit Card,False
60,Male,San Diego,75953,Home,68.56,PayPal,False
65,Female,Philadelphia,130265,Electronics,519.77,Credit Card,False
22,Male,San Diego,137948,Electronics,994.12,Credit Card,True
56,Other,San Antonio,95523,Home,462.45,Credit Card,True
34,Male,Los Angeles,86263,Home,477.9,PayPal,False
47,Female,Dallas,68186,Electronics,105.01,Credit Card,False
43,Male,Los Angeles,126425,Clothing,1250.04,Debit Card,False
26,Other,San Diego,104483,Electronics,134.17,PayPal,True
48,Female,Houston,83555,Home,32.66,PayPal,False
36,Male,New York,63413,Clothing,524.42,UPI,False
47,Female,Houston,134341,Sports,1285.09,Debit Card,False
28,Other,San Diego,57908,Electronics,126.28,Debit Card,True
32,Other,Houston,105107,Beauty,297.13,Credit Card,True
52,Other,Chicago,88394,Beauty,952.6,Debit Card,False
40,Other,Houston,30011,Electronics,27.05,Credit Card,True
65,Other,San Antonio,83113,Home,877.57,Debit Card,True
38,Female,Dallas,109271,Sports,559.83,Debit Card,True
18,Male,Philadelphia,108618,Sports,652.59,UPI,True
34,Other,New York,143841,Electronics,737.31,UPI,False
31,Female,Chicago,36862,Home,180.52,PayPal,True
56,Female,San Diego,97912,Clothing,81.1,UPI,False
39,Male,San Antonio,106669,Electronics,755.99,PayPal,False
49,Other,Los Angeles,93641,Beauty,268.99,Debit Card,False
35,Female,San Jose,141860,Electronics,687.37,Credit Card,False
63,Other,Houston,79648,Sports,391.64,PayPal,True
55,Female,New York,149822,Clothing,509.32,UPI,False
28,Female,San Jose,104086,Sports,251.43,UPI,False
43,Male,San Jose,101080,Home,137.77,Debit Card,True
35,Female,San Diego,128292,Clothing,537.43,Credit Card,False
46,Female,Phoenix,100236,Sports,1183.93,PayPal,False
51,Male,Dallas,94505,Sports,98.33,Debit Card,True
53,Other,Los Angeles,47395,Clothing,261.31,UPI,True
30,Female,Philadelphia,102045,Clothing,408.78,Credit Card,False
18,Other,Houston,104331,Electronics,552.41,UPI,True
53,Other,Los Angeles,80669,Sports,715.86,PayPal,True
43,Female,Philadelphia,89874,Beauty,695.37,Credit Card,True
39,Female,San Diego,85420,Beauty,171.12,PayPal,False
40,Male,Chicago,101101,Sports,824.16,Debit Card,True
51,Male,Los Angeles,83713,Beauty,423.52,Debit Card,False
45,Other,San Diego,115377,Beauty,872.09,Credit Card,False
45,Other,San Jose,126106,Clothing,339.87,Debit Card,True
23,Male,Los Angeles,64865,Clothing,531.7,Credit Card,True
39,Other,San Jose,76441,Electronics,234.08,Credit Card,True
29,Female,Chicago,88177,Sports,521.83,PayPal,False
46,Female,Los Angeles,114209,Clothing,396.56,Debit Card,True
38,Other,Houston,102200,Clothing,355.0,Debit Card,True
19,Other,San Diego,120514,Electronics,239.86,UPI,False
42,Female,San Antonio,115059,Clothing,848.19,Debit Card,False
23,Other,San Diego,136067,Home,170.42,Credit Card,False
44,Other,San Diego,102181,Sports,397.41,UPI,False
47,Male,San Antonio,149822,Clothing,775.61,PayPal,True
60,Other,San Antonio,123594,Sports,470.46,PayPal,True
65,Female,Dallas,106635,Sports,684.03,Debit Card,True
35,Other,New York,38467,Sports,326.3,Debit Card,False
32,Other,Houston,49614,Home,212.41,Debit Card,True
53,Male,Los Angeles,95805,Clothing,68.31,Credit Card,True
41,Female,San Diego,72525,Sports,602.99,Credit Card,True
34,Female,Houston,65607,Electronics,68.89,Debit Card,False
52,Female,Dallas,112547,Beauty,746.7,PayPal,True
30,Other,San Diego,30011,Electronics,101.67,Credit Card,True
62,Other,New York,62986,Clothing,100.13,Credit Card,True
26,Female,San Diego,81408,Electronics,673.59,Debit Card,False
29,Male,Los Angeles,60034,Sports,44.38,PayPal,True
37,Other,Los Angeles,60217,Beauty,247.24,UPI,True
54,Female,San Diego,112189,Clothing,1180.55,PayPal,False
19,Male,Phoenix,38887,Electronics,296.22,UPI,False
58,Male,San Diego,138003,Sports,1090.26,UPI,True
37,Male,San Jose,127118,Home,1209.07,Credit Card,False
55,Female,San Diego,85444,Beauty,459.69,Credit Card,True
30,Other,New York,137485,Home,741.49,Credit Card,True
43,Other,Los Angeles,126563,Home,639.59,PayPal,False
25,Other,Chicago,45643,Electronics,84.98,UPI,False
49,Other,San Diego,65553,Home,391.61,Credit Card,True
54,Other,New York,30727,Electronics,143.05,Debit Card,False
30,Male,Dallas,39619,Home,47.95,Credit Card,True
44,Male,San Jose,148597,Sports,670.83,UPI,True
45,Male,New York,91201,Sports,188.42,Credit Card,True
22,Male,Houston,48405,Clothing,495.91,Credit Card,True
46,Male,Houston,31551,Sports,166.79,UPI,False
27,Female,Dallas,57100,Beauty,297.88,Debit Card,False
65,Male,San Diego,70650,Home,287.48,PayPal,True
56,Male,San Diego,98849,Sports,161.77,PayPal,True
28,Female,New York,30011,Beauty,109.09,Debit Card,True
51,Male,Chicago,89911,Electronics,817.01,Credit Card,False
